id,season,name,type,motto,category,region,flag,cardcategory,population,description,badges,trophies
"1","3","Testlandia","Hive Mind","Fixed, thanks.","New York Times Democracy","Testregionia","uploads/testlandia__656619.svg","legendary","41900000000","41.9b Population 2,495t Industry","{""Admin"":1,""Issues Editor"":1,""Founder"":1,""Moderator"":1,""Easter Egg"":4}","{""DECK-1"":181,""POPULATION-1"":428,""HEALTHCARE-1"":1200}"
"2","3","Frisbeeteria","Dizzy Flying Saucers of Doom","Death to all fanatics!","Anarchy","Windows","uploads/frisbeeteria__825130.jpg","legendary","40000000000","40.0b Population 6,311t Industry","{""Game Mod"":1,""Moderator"":1,""Issues Author"":2,""Historical Resolution Author"":1,""General Assembly Resolution Author"":1,""Easter Egg"":7}","{""DECK-1"":3,""POPULATION-1"":842,""LOWTAX-1"":1034}"
"4","3","Reploid Productions","Immortal Shogunate and Affiliated Territories","May the Goddess bind our foes with Her chain, and destroy them with Her axe!","Democratic Socialists","Space Sector RPRA","uploads/reploid_productions__604781.png","legendary","42900000000","42.9b Population 7,953t Industry","{""Game Mod"":1,""Founder"":1,""Moderator"":1,""Issues Author"":4,""Easter Egg"":1}","{""HAPPY-1"":92,""POPULATION-1"":111,""STATIONARY-1"":166}"
"6","3","Sedgistan","Oh My GOD! What were they thinking! He's a MODERATOR!","Don't piss down my back and try and tell me it's raining","Anarchy","The Moon","uploads/sedgistan__979130.png","legendary","29600000000","29.6b Population 751t Industry","{""Game Mod"":1,""Issues Editor"":1,""Delegate"":1,""Moderator"":1,""Issues Author"":12,""Security Council Resolution Author"":9,""Easter Egg"":7}","{""POLIFREE-1T"":1,""DRUGS-1"":6,""CRIME-1"":15}"
"7","3","The Archregimancy","Holy Monastic Republic","Slouching Towards Bethlehem","Democratic Socialists","The Dreamed Realm","uploads/the_archregimancy__893097.png","legendary","37700000000","37.7b Population 125t Industry","{""Game Mod"":1,""Founder"":1,""Moderator"":1,""Easter Egg"":1}","{""STATIONARY-1"":255,""PRIMITIVE-1"":650,""EQUALITY-1"":661}"
"8","3","Ko-oren","Halcyon Archipelago","Making sports boring since World Cup 55","Democratic Socialists","Anaia","uploads/ko-oren__695080.png","legendary","26100000000","26.1b Population 5,824t Industry","{""Delegate"":1,""Postmaster-General"":1,""Issues Author"":1,""Easter Egg"":6}","{""EDUCATED-1"":174,""ECO-GOVT-1"":206,""PEACE-1"":234}"
"32","3","Paffnia","Protectorate","Iuvans illos qui auxilium requirunt","Left-wing Utopia","10000 Islands","uploads/paffnia__544058.png","legendary","26100000000","26.1b Population 5,638t Industry","{""WA"":1,""Commended"":[""276""],""Postmaster-General"":1,""Issues Author"":1,""Security Council Resolution Author"":1,""Easter Egg"":11}","{""WELFARE-1"":116,""AID-1"":146,""HEALTHCARE-1"":163}"
"33","3","Goobergunchia","Moderately Liberal Unitary Republic","Ex Scientia Vires","Scandinavian Liberal Paradise","the Rejected Realms","uploads/goobergunchia__869998.jpg","legendary","21300000000","21.3b Population 4,051t Industry","{""Game Mod"":1,""WA"":1,""Commended"":[""10""],""Moderator"":1,""Issues Author"":1,""Historical Resolution Author"":1,""Security Council Resolution Author"":1,""Easter Egg"":2}","{""HAPPY-1"":316,""PUBLISHING-1"":452,""EDUCATED-1"":636}"
"38","3","Ballotonia","Free Democracy","Vote early, vote often.","New York Times Democracy","Nederland","uploads/ballotonia__959277.gif","legendary","43400000000","43.4b Population 14,249t Industry","{""Admin"":1,""Commended"":[""63""],""Moderator"":1,""Issues Author"":1,""Security Council Resolution Author"":1,""Easter Egg"":6}","{""POPULATION-1"":24,""DECK-1"":37,""REBELYOUTH-1"":136}"
"42","3","Sanctaria","Divine Federation","Dura Lex Sed Lex","New York Times Democracy","International Democratic Union","uploads/sanctaria__68242.svg","legendary","26400000000","26.4b Population 2,536t Industry","{""Issues Editor"":1,""Delegate"":1,""Commended"":[""126""],""Postmaster-General"":1,""Issues Author"":20,""General Assembly Resolution Author"":7,""Easter Egg"":4}","{""INFLUENCE-1"":1254,""WELFARE-1"":2776,""EDUCATED-5"":3211}"
"63","3","Kylarnatia","Ancient Empire","Enim Silvier, charissimu mater.","Left-Leaning College State","Gholgoth","uploads/kylarnatia__129779.png","legendary","30600000000","30.6b Population 12,531t Industry","{""Delegate"":1,""Postmaster-General"":1,""Issues Author"":1,""Easter Egg"":4}","{""HIGHTAX-1"":89,""HDI-1"":94,""GOVT-1"":102}"
"70","3","Katganistan","Stylishly Evil Kingdom","Sane, Sensible and Sound.","Scandinavian Liberal Paradise","Kattar","uploads/katganistan__868482.png","legendary","42800000000","42.8b Population 416t Industry","{""Game Mod"":1,""WA"":1,""Founder"":1,""Moderator"":1,""Easter Egg"":2}","{""POPULATION-1"":136,""HAPPY-1"":154,""WEATHER-1"":1112}"
"71","3","SalusaSecondus","Game Administrator's Realm","That which does not kill you only makes you stronger.","Father Knows Best State","The Cuckoos Egg","uploads/salusasecondus__641981.jpg","legendary","39900000000","39.9b Population 6,048t Industry","{""Admin"":1,""Founder"":1,""Moderator"":1,""Issues Author"":3,""Easter Egg"":4}","{""DECK-1"":410,""POPULATION-1"":853,""AUTO-1"":1382}"
"73","3","Knootoss","Free Republic","Libertate Unanimus","Civil Rights Lovefest","Western Atlantic","uploads/knootoss__897640.png","legendary","42000000000","42.0b Population 19,840t Industry","{""Delegate"":1,""Commended"":[""255""],""Postmaster-General"":1,""General Assembly Resolution Author"":9,""Easter Egg"":5}","{""SMART-1"":46,""ADVANCED-1"":49,""PUBLISHING-1"":102}"
"83","3","NewTexas","Big Tex Happy Taco Stands","Home of Big Tex! You Want Cheese On That?","Civil Rights Lovefest","Texas","uploads/newtexas__219031.png","legendary","43300000000","43.3b Population 17,366t Industry","{""Delegate"":1,""Commended"":[""131""],""Founder"":1,""Postmaster-General"":1,""Easter Egg"":6}","{""STATIONARY-1T"":1,""POPULATION-1"":53,""INFLUENCE-1"":76}"
"84","3","The Blaatschapen","Lamb pate with toast, lamb kebab with satay sauce, stuffed leg of lamb with rosemary and pine nuts, lamb shank hotpot pie with pickled red cabbage, aromatic lamb casserole with prunes, fruity lamb tagine","I am wooling to go out on a lamb","Anarchy","Snazzy","uploads/the_blaatschapen__809827.jpg","legendary","43000000000","43.0b Population 6,961t Industry","{""Admin"":1,""Moderator"":1,""Easter Egg"":5}","{""POPULATION-1"":93,""HAPPY-1"":101,""SMART-1"":602}"
"104","3","Zwangzug","Loquacious Lipograms","We pawn n00bs","Left-wing Utopia","Wrigley","uploads/zwangzug__652341.png","legendary","34400000000","34.4b Population 8,282t Industry","{""Issues Editor"":1,""Commended"":[""233""],""Founder"":1,""Postmaster"":1,""Issues Author"":8,""Easter Egg"":2}","{""ECO-GOVT-1"":114,""REBELYOUTH-1"":146,""LEASTCORRUPT-1"":238}"
"211","3","Woonsocket","Big Bull","The Big Bull has spoken!","Left-Leaning College State","10000 Islands","uploads/woonsocket__394537.jpg","legendary","40300000000","40.3b Population 18,200t Industry","{""Commended"":[""281""],""Postmaster-General"":1,""Easter Egg"":6}","{""FURNITURE-1"":74,""CHEESE-1"":95,""LOWTAX-1"":116}"
