id,season,name,type,motto,category,region,flag,cardcategory,population,description,badges,trophies
"1","1","Testlandia","Hive Mind","Grr. Arg.","Inoffensive Centrist Democracy","Testregionia","uploads/testlandia__643246.png","legendary","33351000000","33.351 billion Testlandians. Museums and concert halls, punitive income tax rates, and devotion to social welfare.","{""Admin"":1,""WA"":1,""Founder"":1,""Moderator"":1,""Easter Egg"":3}","{""POPULATION-1"":489,""ECO-GOVT-5"":3556,""AID-5"":3732}"
"2","1","Frisbeeteria","Dizzy Flying Saucers of Doom","Death to all fanatics!","Anarchy","Texas","uploads/frisbeeteria__825130.jpg","legendary","31484000000","31.484 billion Frisbeeterians. Smutty television, complete lack of prisons, and sprawling nuclear power plants.","{""Game Mod"":1,""Moderator"":1,""Issues Author"":2,""Historical Resolution Author"":1,""General Assembly Resolution Author"":1,""Easter Egg"":7}","{""POPULATION-1"":950,""GDP-1"":1392,""LOWTAX-1"":1497}"
"4","1","Reploid Productions","Immortal Shogunate and Affiliated Territories","May the Goddess bind our foes with Her chain, and destroy them with Her axe!","Democratic Socialists","Space Sector RPRA","uploads/reploid_productions__706365.jpg","legendary","34438000000","34.438 billion Arpeans. Unlimited-speed roads, ubiquitous missile silos, and irreverence towards religion.","{""Game Mod"":1,""Founder"":1,""Moderator"":1,""Issues Author"":4,""Easter Egg"":1}","{""HAPPY-1"":83,""POPULATION-1"":135,""PUBLISHING-1"":177}"
"5","1","NERVUN","Protectorate Organization","A Nation of Economic Rights and Values","Right-wing Utopia","GeoFront","uploads/nervun__218502.png","legendary","29930000000","29.93 billion NERV Members. Daily referendums, ubiquitous missile silos, and enslaved workforce.","{""Game Mod"":1,""Founder"":1,""Moderator"":1}","{""STATIONARY-1"":294,""PIZZA-1"":642,""GDP-1"":1346}"
"7","1","The Archregimancy","Holy Monastic Republic","Slouching Towards Bethlehem","Democratic Socialists","The Dreamed Realm","uploads/the_archregimancy__893097.png","legendary","29237000000","29.237 billion Monks. National health service, frequent executions, and devotion to social welfare.","{""Game Mod"":1,""Founder"":1,""Moderator"":1,""Easter Egg"":1}","{""STATIONARY-1"":307,""PRIMITIVE-1"":655,""EQUALITY-1"":668}"
"29","1","Euroslavia","Shattered Halls","I didn't come to play. I came to slay.","Inoffensive Centrist Democracy","Gay","uploads/euroslavia__207658.jpg","legendary","31744000000","31.744 billion Euroslavians. Daily referendums, keen interest in outer space, and hatred of cheese.","{""Game Mod"":1,""Moderator"":1}","{""ECONOMY-1"":6,""POPULATION-1"":878,""BUSINESS-5"":1944}"
"38","1","Ballotonia","Free Democracy","Vote early, vote often.","Civil Rights Lovefest","Nederland","uploads/ballotonia__622267.png","legendary","34893000000","34.893 billion Ballons. Barren, inhospitable landscape, deadly medical pandemics, and unlimited-speed roads.","{""Admin"":1,""Commended"":[""63""],""Moderator"":1,""Issues Author"":1,""Security Council Resolution Author"":1,""Easter Egg"":6}","{""ECONOMY-1"":9,""POPULATION-1"":29,""REBELYOUTH-1"":124}"
"42","1","Sanctaria","Divine Republic","Dura Lex Sed Lex","New York Times Democracy","International Democratic Union","uploads/sanctaria__272012.png","legendary","17824000000","17.824 billion Sanctarians. Museums and concert halls, keen interest in outer space, and devotion to social welfare.","{""Issues Editor"":1,""WA"":1,""Commended"":[""126""],""Postmaster-General"":1,""Issues Author"":19,""General Assembly Resolution Author"":6,""Easter Egg"":2}","{""WELFARE-5"":2779,""INFLUENCE-5"":2868,""REBELYOUTH-5"":3655}"
"70","1","Katganistan","Stylishly Evil Kingdom","Sane, Sensible and Sound","Liberal Democratic Socialists","Kattar","uploads/katganistan__868482.png","legendary","34298000000","34.298 billion Katgani. Pith helmet sales, national health service, and restrictive gun laws.","{""Game Mod"":1,""WA"":1,""Founder"":1,""Moderator"":1,""Easter Egg"":2}","{""HAPPY-1"":126,""POPULATION-1"":171,""HEALTHY-1"":807}"
"71","1","SalusaSecondus","Game Administrator's Realm","That which does not kill you only makes you stronger.","Father Knows Best State","The Cuckoos Egg","uploads/salusasecondus__270024.jpg","legendary","33119000000","33.119 billion SalusaSeconders. Sprawling nuclear power plants, state-planned economy, and multi-spousal wedding ceremonies.","{""Admin"":1,""Founder"":1,""Moderator"":1,""Issues Author"":3,""Easter Egg"":4}","{""POPULATION-1"":547,""MINING-1"":965,""GDP-1"":1322}"
"73","1","Knootoss","Dutch Democratic Republic","Libertate Unanimus","Civil Rights Lovefest","Western Atlantic","uploads/knootoss__863758.png","legendary","33408000000","33.408 billion Knootians. Museums and concert halls, sprawling nuclear power plants, and absence of drug laws.","{""Delegate"":1,""Commended"":[""255""],""Postmaster-General"":1,""General Assembly Resolution Author"":6,""Easter Egg"":5}","{""ECONOMY-1"":13,""SMART-1"":24,""TECH-1"":42}"
"83","1","NewTexas","Incorporated NationStates","Home of Big Tex!","Anarchy","Texas","uploads/newtexas__826443.png","legendary","34743000000","34.743 billion NewTexans. Deadly medical pandemics, public floggings, and frequent executions.","{""Delegate"":1,""Commended"":[""131""],""Founder"":1,""Postmaster-General"":1,""Easter Egg"":6}","{""STATIONARY-1T"":1,""ECONOMY-1"":15,""INFLUENCE-1"":34}"
"104","1","Zwangzug","Loquacious Lipograms","We pawn n00bs","Left-wing Utopia","Forest","uploads/zwangzug__511154.png","legendary","25891000000","25.891 billion Zwangzugians. Ban on automobiles, complete lack of prisons, and devotion to social welfare.","{""Issues Editor"":1,""Commended"":[""233""],""Postmaster"":1,""Issues Author"":5}","{""REBELYOUTH-1"":169,""COMPASSIONATE-1"":300,""LEASTCORRUPT-1"":301}"
"286","1","Mallorea and Riva","99% Danish-fetching, Shark-loving, Fish-eating, Seekritly-lurking Game Moderator Extraordinarious","So I can type whatever I want here?","Benevolent Dictatorship","The Joint Systems Alliance","uploads/mallorea_and_riva__679010.jpg","legendary","15997000000","15.997 billion Mallorea and Rivans. Deadly medical pandemics, compulsory military service, and smutty television.","{""Game Mod"":1,""Condemned"":[""121""],""Moderator"":1,""General Assembly Resolution Author"":2,""Security Council Resolution Author"":1,""Easter Egg"":5}","{""ECONOMY-1"":31,""INSURANCE-1"":1200,""AUTO-1"":1218}"
"307","1","Mousebumples","Married Moderator Mouse","The only prescription is more cowbell!","Inoffensive Centrist Democracy","Europeia","uploads/mousebumples__396244.jpg","legendary","33476000000","33.476 billion Mousebumplesians. Rum-swilling pirates, parental licensing program, and complete absence of social welfare.","{""Game Mod"":1,""WA"":1,""Commended"":[""120""],""Moderator"":1,""Historical Resolution Author"":1,""General Assembly Resolution Author"":16,""Security Council Resolution Author"":3,""Easter Egg"":7}","{""INFLUENCE-1"":4,""FISH-1"":294,""WEATHER-1"":335}"
"353","1","Transnapastain","Theocratic Republic","If God is for us, who can be against us?","Compulsory Consumerist State","Tom Clancys Meme Team","uploads/transnapastain__457460.jpg","legendary","23762000000","23.762 billion Transnapastaini. Unlimited-speed roads, anti-smoking policies, and complete absence of social welfare.","{""Founder"":1,""Retired Moderator"":1,""Easter Egg"":5}","{""ECONOMY-1"":39,""AUTO-1"":188,""MINING-1"":219}"
"361","1","Crazy girl","Pinktastic Coffee Loving Grand Dutchy Queendom","hello","Iron Fist Consumerists","the Rejected Realms","uploads/crazy_girl__471387.jpg","legendary","34231000000","34.231 billion Crazy girlians. Museums and concert halls, ubiquitous missile silos, and avant-garde cinema.","{""WA"":1,""Commended"":[""49""],""Retired Moderator"":1,""Issues Author"":3,""Security Council Resolution Author"":1,""Easter Egg"":4}","{""POPULATION-1"":190,""BLACKMARKET-1"":938,""ARMS-5"":2043}"
